pokemon_no,card_type,required_master_ball_cnt,required_ultra_ball_cnt,required_heal_ball_cnt,required_quick_ball_cnt,required_great_ball_cnt,required_poke_ball_cnt,score,reward_ball_type,reward_ball_cnt,evolution_ball_type,evolution_ball_cnt
147,1단계,0,0,0,3,0,2,1,하이퍼볼,1,슈퍼볼,3
147,1단계,0,4,0,0,0,0,1,하이퍼볼,1,슈퍼볼,3
2,2단계,0,0,0,6,0,0,3,퀵볼,1,슈퍼볼,4
2,2단계,0,0,4,0,1,4,3,퀵볼,1,슈퍼볼,4
5,2단계,0,0,0,0,6,0,3,슈퍼볼,1,몬스터볼,4
5,2단계,0,4,0,4,0,1,3,슈퍼볼,1,몬스터볼,4
8,2단계,0,0,0,0,0,6,3,몬스터볼,1,퀵볼,4
8,2단계,0,4,1,0,4,0,3,몬스터볼,1,퀵볼,4
11,2단계,0,2,5,0,0,0,2,힐볼,1,퀵볼,3
11,2단계,0,0,0,1,4,2,2,힐볼,1,퀵볼,3
14,2단계,0,5,0,2,0,0,2,하이퍼볼,1,힐볼,3
14,2단계,0,0,1,0,2,4,2,하이퍼볼,1,힐볼,3
17,2단계,0,2,2,0,3,0,1,슈퍼볼,1,몬스터볼,4
17,2단계,0,2,2,0,0,3,1,슈퍼볼,1,몬스터볼,4
30,2단계,0,2,2,3,0,0,1,퀵볼,1,슈퍼볼,4
30,2단계,0,2,2,0,3,0,1,퀵볼,1,슈퍼볼,4
44,2단계,0,3,0,0,2,2,1,하이퍼볼,1,퀵볼,4
44,2단계,0,0,0,3,2,2,1,하이퍼볼,1,퀵볼,4
61,2단계,0,0,3,2,2,0,1,힐볼,1,하이퍼볼,4
61,2단계,0,3,0,2,2,0,1,힐볼,1,하이퍼볼,4
64,2단계,0,0,6,0,0,0,3,힐볼,1,하이퍼볼,4
64,2단계,0,1,0,4,0,4,3,힐볼,1,하이퍼볼,4
67,2단계,0,0,2,0,0,5,2,몬스터볼,1,슈퍼볼,3
67,2단계,0,2,0,4,1,0,2,몬스터볼,1,슈퍼볼,3
70,2단계,0,2,0,2,0,3,1,몬스터볼,1,힐볼,4
70,2단계,0,2,3,2,0,0,1,몬스터볼,1,힐볼,4
75,2단계,0,0,0,0,5,2,2,슈퍼볼,1,하이퍼볼,3
75,2단계,0,1,4,2,0,0,2,슈퍼볼,1,하이퍼볼,3
93,2단계,0,0,0,5,2,0,2,퀵볼,1,몬스터볼,3
93,2단계,0,4,2,0,0,1,2,퀵볼,1,몬스터볼,3
148,2단계,0,6,0,0,0,0,3,하이퍼볼,1,퀵볼,4
148,2단계,0,0,4,1,4,0,3,하이퍼볼,1,퀵볼,4
3,3단계,0,0,3,0,0,7,5,몬스터볼,1
6,3단계,0,7,0,3,0,0,5,슈퍼볼,1
9,3단계,0,3,0,0,7,0,5,퀵볼,1
12,3단계,0,4,0,0,6,0,4,힐볼,1
15,3단계,0,0,0,4,0,6,4,하이퍼볼,1
18,3단계,0,2,0,2,5,0,3,슈퍼볼,1
31,3단계,0,0,2,5,0,2,3,퀵볼,1
45,3단계,0,5,2,0,2,0,3,하이퍼볼,1
62,3단계,0,0,5,2,0,2,3,힐볼,1
65,3단계,0,0,0,7,0,3,5,힐볼,1
68,3단계,0,0,4,6,0,0,4,몬스터볼,1
71,3단계,0,2,0,0,2,5,3,몬스터볼,1
76,3단계,0,0,6,0,0,4,4,슈퍼볼,1
94,3단계,0,6,0,0,4,0,4,퀵볼,1
149,3단계,0,0,7,0,3,0,5,하이퍼볼,1
131,희귀,1,3,0,0,2,0,0,몬스터볼,2
132,희귀,1,0,3,2,0,0,0,슈퍼볼,2
133,희귀,1,0,0,3,0,2,0,하이퍼볼,2
142,희귀,1,0,2,0,3,0,0,퀵볼,2
143,희귀,1,2,0,0,0,3,0,힐볼,2
145,전설,1,0,3,3,3,0,2,몬스터볼,2
146,전설,1,3,0,3,3,0,2,힐볼,2
144,전설,1,3,3,0,0,3,2,퀵볼,2
150,전설,1,0,3,0,3,3,2,하이퍼볼,2
151,전설,1,3,0,3,0,3,2,슈퍼볼,2
